指導教員,修士論文主題
山本幹雄,"ダブル配列言語モデルのサイズ削減に向けたハイパーグラフ構造
に基づく単語ID入れ替えアルゴリズム"
山野博哉,分布北限域における南方系海洋生物の北上とその認識
志築文太郎,拡張現実における短時間のみ表示される視覚的な通知
志築文太郎,"ハンドヘルドARにおける背後のターゲットのためのフロントカメ
ラを用いたターゲット選択手法"
志築文太郎,視線を用いた実世界オブジェクトの情報閲覧支援
志築文太郎,"スマートウォッチに取り付けられた実物体選択のためのカメラの
位置および方向の評価"
志築文太郎,導電繊維編み込み紐を用いたあやとり技認識手法
若槻尚斗,伝搬経路上の媒質変化によるパラメトリックスピーカーの放射特性変化に関する研究
若槻尚斗,斜放射平面波スピーカーを用いた広域に音像定位可能なサラウンドシステムに関する研究
若槻尚斗,等身大ビデオ通話において多人数で自然な会話を実現する音響システムに関する研究
若槻尚斗,音色ラベルと音響特徴量の関係分析に基づくシンセサイザの音色設定支援に関する研究
若槻尚斗,ヒトによる金管楽器吹鳴時の口唇振動計測と人工口唇の作製に関する研究
若槻尚斗,埋め込み型補聴デバイスを目指した人工基底膜のシミュレーションに関する研究
若槻尚斗,パーティションに仕切られた二組の話者間における双方向能動騒音制御に関する研究
若槻尚斗,打叩条件による音色変化を再現するシンバル音の合成に関する研究
若槻尚斗,視聴点・方向の移動に対応した遠隔実音場の立体音響再現システムに関する研究
秋元祐太朗,リチウムイオンパウチセルのin-situ診断技術に関する基盤研究
秋元祐太朗,EVの充電行動の不確実性がPV出力制御量緩和に与える影響に関する研究
秋元祐太朗,Study on Optimization Strategy for EV Charging Stations Considering User Satisfaction
秋山英三,重量・近接規制を考慮した異種ドローン経路問題：規制による配送時間・コストへの影響分析
秋本洋平,"Improving Generalization of Reinforcement Learning via Reward
Shaping with CMA-ES"
秋本洋平,"教師なし強化学習の軌跡を活用した効率的な方策ファインチュー
ニング"
小林匠,"レイヤー間の依存関係に基づく重要度伝播を用いたCNNの
Pruning"
松原康介,アルジェリアにおけるフェルナン・プイヨンの居住型ツーリスト・コンプレックス─シディフレジとティパザの海辺地区を事例に─
上市秀雄,失敗に伴う恥が回避的行動と建設的行動に与える影響：個人差要因と状況要因の検討
上市秀雄,自転車保険の加入意思決定の分析?保険のパンフレットのキャッチコピーに着目して?
新城靖,"機密実行環境を利用した個人情報管理のための高い可用性を持つ
ログサーバの実装"
新城靖,WebRTCを用いたP2P型VPNによるIPアドレス隠し
新城靖,Framework for Implementing Multi-Personal-Node Applications
新城靖,"部屋の概念に基づく誰でも使えるアクセス制御のWebにおける実
装"
新城靖,"機密実行環境のための耐タンパデバイスを用いた永続キーバ
リューストアの実装"
新里高行,異なる光波長がアユの群行動と二層的同期（向き・尾鰭ビート）に与える影響
新里高行,YOLOを用いた魚類個体の体軸推定と時系列構造を活用した異常姿勢修正
新里高行,6本指錯覚と視点変調VRによる身体所有感の可塑性
新里高行,集団的拍手における同期対象と拍の捉え方に着目した同期メカニズムの解明
森田昌彦,脳波位相リセット解析に基づくうつ状態の推定
神村明哉,ARマーカーを用いた陸上ロボット・空中ドローン間の相対位置推定と協調制御
星野准一,音声対話による親密性向上を目的とした対話型ゲームの設計と分析
星野准一,高齢者のコミュニケーションを促進する仮想観光システムの構築と評価
星野准一,Mutual Self-Disclosure in Game Dialogue: Enhancing Intimacy and Social Presence
星野准一,視覚的行動伝播メカニズムに基づく魚群運動のシミュレーション
星野准一,Enhancing Nature Engagement through Embodied Observation in a VR-Based Learning System
西出隆志,FHE推論における活性化関数の差異による推論精度の比較評価
西出隆志,One-Time Memories Secure against Depth-Bounded Quantum Circuits
西出隆志,情報セキュリティ行動の持続的促進に関する研究
川口一画,"対話相手に対する直視および視線回避の強調表示によるビデオ通
話参加者の状況伝達"
川口一画,"ユーザの姿勢に連動したPC画面表示の傾き変更を用いた座位姿勢
改善手法"
川口一画,"変換聴覚フィードバックが話者の発話特性および話者と聴衆の発
話に対する印象評価に与える影響"
川口一画,電気的筋肉刺激による手指への情報提示手法の検討
川崎真弘,姿勢変化が持続的注意機能及び脳活動に与える影響
川島宏一,EBPM研修による地方自治体職員の意識・行動の変化とその要因分析
川島宏一,移住促進の観点から見た地方自治体による創業等支援制度の対象者選定基準の実態と効果に関する研究
川島宏一,シェアサイクルの利用頻度に影響を与えるサイクルポートの立地環境の要因分析―つくば市・山形市・山口市を事例として―
善甫啓一,擬似心拍音バイオフィードバックによる心拍低下感覚を誘発する瞑想促進システムに関する研究
善甫啓一,Study on Chimeric Service Actors in which Interactive Agents and Humans Share Avatars
善甫啓一,Study on Pseudo-Force Feedback via Auditory Displacement with Pitch Variations in a Virtual River
相山康道,広域な可動範囲を有する空間移動マニピュレータの開発
相山康道,力学特性DBに基づく2指ハンド選択支援システムの開発及び吸着ハンドへの適用検討
蔵田武志,人的資本経営に資する職場マルチモーダルデータ活用型MASの開発
蔵田武志,VRバーチャルペットとの運動が及ぼす心理的・生理的効果
村上暁信,自治体におけるグリーンインフラの計画的展開を阻害する要因についての研究
太田充,中国高速鉄道建設が都市経済に与える影響―都市規模・地域別の実証分析―
大山恵弘,"CNNマルウェア検知器における文字列追加攻撃による敵対的攻撃
の解析"
大山恵弘,"RISC-Vの拡張をエミュレーション可能なハイパーバイザとその実
装を支援する自動生成システムの構築"
大西正輝,Continual Learning by Null Space of Weight Matrix of Previous Task for Deep Neural Network
大西正輝,Prediction of Multi-Pedestrian Interaction with Vehicles in Shared Spaces: A Particle-Based Graph Neural Network Approach
大西正輝,自己注意機構による画像認識の性能向上のための活性化関数に関する実験的考察
大矢晃久,Diffusion Model による舞踊譜と拍子を用いた舞踊動作の生成
大矢晃久,共感覚に基づく機械学習を用いたクロスモダリティ学習
大矢晃久,"Waypoint-Scheduled Multi-Robot Path Planning for Formation-
Aware Narrow Passage Traversal"
滝沢穂高,"Extraction of adrenal glands in CT images using U-Net with
multi-channelization and multi-planar augmentation"
滝沢穂高,"Extraction of Epiglottises from Videofluorography Using 3D U-
Net with Multi-Channelization and SE Blocks"
滝沢穂高,深層学習によるビデオ解析に基づく睡眠変異体マウスの行動分析
谷口綾子,奥入瀬渓流利活用をめぐる関係主体の語りの質的分析と無関心層に向けた取組の効果
谷口綾子,社会的受容に向けた自動運転バスのエクステリア検討プロセスと評価指標に関する基礎的研究
谷口守,認識人口?その抽出と特性
谷口守,子どもの生活行動にみる体験格差?課外活動の全国横断的把握を通じて?
谷口守,自給型人口分散による食料需給バランス改善への試案?「地域で食料が自給できる国土」への視座?
谷口守,都市サービスの長期的な入れ替わりの実態?均霑化に向けた20年間の比較?
中内靖,視覚障がい者の安全な歩行を支援するシステムの提案
中内靖,独居高齢者の運動習慣を促す鏡インタフェースの提案
中内靖,足踏み運動によるリハビリテーションを支援する鏡インタフェースの提案
町田文雄,"AI推論におけるエナジーバグの影響とオフロード実行による緩和
手法の解析"
町田文雄,"Dynamic Task Offloading Using Vehicle Density Estimation for
UAV-based Road Traffic Monitoring"
町田文雄,"ロングテール特性を考慮した高信頼性APIメソッドシーケンス推薦
の実現"
町田文雄,"Quantifying Weather Risks and Enhancing System Resilience in
UAV-Based Deforestation Monitoring"
長谷部浩二,"Logical Neural NetworkとSMTソルバーによる安全性を考慮した
深層強化学習"
長谷部浩二,"Modeling the Emergence of Echo Chambers through the
Interaction between Beliefs and Opinions"
陳漢雄,"Mutual Proximityに基づくTop-K推薦における人気バイアスの制御
手法"
陳漢雄,"Pivot-Based Coordinate Reduction and Hierarchical Indexing for
High-Dimensional Image Retrieval"
津川翔,"ソーシャルプラットフォーム上の情報局所性と暗黙的情報拡散メ
カニズムの分析"
津川翔,"ソーシャルネットワークにおけるブローカーの配置が情報拡散に
及ぼす影響の評価"
塚田正人,Retinex理論に基づく画像最適化による形状復元の高精度化
塚田正人,認識性能向上のための並列ISP補正の選択的融合によるRAW画像処理
塚田正人,SurgicalSketch：手術画像から手術記録向け注釈付きイラスト画像生成フレームワーク
塚田正人,Event Guided Video Frame Interpolation by Pre-trained Diffusion Model
堤盛人,東京国際空港新飛行経路の運用開始が東京都区部の不動産価値に与えた影響に関する計量分析
堤盛人,マニラ首都圏における洪水リスクが住宅価格に与える影響の分析?価格帯の異質性に着目して?
堤盛人,オフィスビルにおけるアメニティの実態解明と効果検証
堤盛人,地籍調査の進捗に関する地理空間分析
堤盛人,Analysis of the Impact of Green Building Certification on the J-REIT's Performance
天笠俊之,"CNNを用いた潮汐ストリームによるダークマターハローの密度分
布推定"
天笠俊之,LLMによるトランスクリプト要約を用いた医療動画の真偽判定
天笠俊之,Apache Spark上でのSQL/PGQクエリ処理の高速化
天笠俊之,HTAPシステムのため軽量なデータフレッシュネス測定手法
天笠俊之,"Exploiting Temporal Importance for Adversarial Attacks on
Dynamic Graphs"
田中文英,Hierarchical Action Models with 2D Paths and Consistency Flow Training for General Robot Manipulation
